ReacID,ReacName,SecretionSense,MassBalance,finalFlux,finalFluxLimit
644,EX_fuc_L(e),1,-0.00257375706009947,0,0
645,EX_fum(e),1,-0.00539471809028596,-1.16352479116554e-05,-1
646,EX_g6p(e),0,8.36645561636016e-36,0,0
647,EX_gal(e),1,-0.000208602737131442,2.42828469455103e-05,0
648,EX_galct_D(e),0,0,0,0
649,EX_galctn_D(e),0,0,0,0
650,EX_galt(e),0,0,0,0
651,EX_galur(e),0,0,0,0
652,EX_gbbtn(e),0,0,0,0
653,EX_gcald(e),0,2.78166093262969e-33,0,0
654,EX_glc(e),1,-0.00189848929320577,0,0
655,EX_glcn(e),1,-0.00278082472238684,0,0
656,EX_glcr(e),0,0,0,0
657,EX_glcur(e),0,0,0,0
658,EX_gln_L(e),1,0,0,0
659,EX_glu_L(e),1,-0.00327428685098325,7.59705864234663e-05,0
660,EX_gly(e),1,-0.00535951469789468,0,0
661,EX_glyasn(e),0,0,0,0
662,EX_glyasp(e),0,0,0,0
663,EX_glyb(e),0,0,0,0
664,EX_glyc(e),1,-0.00287541082499605,0,0
665,EX_glyc3p(e),1,-0.00185698795655793,-8.66382862436159e-11,0
666,EX_glyclt(e),0,0,0,0
667,EX_glycys(e),0,0,0,0
668,EX_glygln(e),0,0,0,0
669,EX_glyglu(e),0,0,0,0
670,EX_glyleu(e),0,0,0,0
671,EX_glymet(e),0,0,0,0
672,EX_glyphe(e),0,0,0,0
673,EX_glypro(e),0,0,0,0
674,EX_glytyr(e),0,0,0,0
675,EX_gsn(e),1,-0.00950431328351165,0,0
676,EX_h(e),1,0.130760612321777,-0.00150130009051867,0
677,EX_h2(e),1,5.00053979110814e-05,0,0
678,EX_h2o(e),1,-0.0122681636649597,8.46002613770336e-05,0
679,EX_h2s(e),1,0.0107425810358983,0,0
680,EX_hdca(e),1,-1.21617325335501e-23,0,0
681,EX_hexs(e),0,0,0,0
682,EX_hg2(e),0,0,0,0
683,EX_his_L(e),1,-0.00055625998889689,-5.45133589709773e-06,0
684,EX_hxan(e),1,-6.45371055117245e-35,0,0
685,EX_idon_L(e),0,1.34545133175657e-35,0,0
686,EX_ile_L(e),1,-0.00159363858962536,-1.66295084128668e-05,0
687,EX_indole(e),1,0.00128411090453908,0,0
688,EX_ins(e),1,7.06078925570103e-05,0,0
689,EX_isetac(e),0,0,0,0
690,EX_k(e),1,-4.69004108838125e-05,-4.59623015393531e-07,0
691,EX_lac_D(e),0,0,0,0
692,EX_lac_L(e),1,-0.00301452693446983,0,0
693,EX_lcts(e),1,-0.00210777027598416,-2.42828469455103e-05,0
694,EX_leu_L(e),1,-0.00198467671910591,-2.58173780229629e-05,0
695,EX_lys_L(e),1,-0.00175433994712139,-1.96311184962369e-05,0
696,EX_mal_L(e),1,-0.00548602076485774,-1.31669554635346e-05,-1
697,EX_malt(e),1,-0.00148431579049538,1.90061280034538e-34,0
698,EX_malthx(e),0,0,0,0
699,EX_malttr(e),0,0,0,0
700,EX_man(e),1,-0.00205458488263849,0,0
701,EX_man6p(e),0,0,0,0
702,EX_mantr(e),0,0,0,0
703,EX_melib(e),1,-0.00177556421283896,0,0
704,EX_met_D(e),0,0,0,0
705,EX_met_L(e),1,-6.81524398104513e-07,-9.24904360069714e-06,0
706,EX_metala(e),0,0,0,0
707,EX_metsox_R_L(e),0,0,0,0
708,EX_metsox_S_L(e),1,-0.00084355078413075,0,0
709,EX_mg2(e),1,-4.69004108838125e-05,-4.59623015393531e-07,0
710,EX_mn2(e),1,-4.69004108838125e-05,-4.59623015393531e-07,0
711,EX_mnl(e),1,-0.00268514002358963,0,0
712,EX_mops(e),0,0,0,0
713,EX_mso3(e),0,0,0,0
714,EX_na1(e),1,-2.10436537862502e-34,0,0
715,EX_nac(e),1,0.00990552475936937,6.79786049555107e-05,0
716,EX_nh4(e),0,0.0147237327689604,0.000215350935760198,0
717,EX_nmn(e),1,-0.00999932558113701,-6.88978509862978e-05,-1
718,EX_no2(e),1,-0.00470827548344028,-6.111237190649e-06,-1
719,EX_no3(e),1,-0.00342761304815472,-1.73996800471892e-06,-1
720,EX_o2(e),0,0,0,0
721,EX_ocdca(e),1,-1.57047999858783e-18,0,0
722,EX_orn(e),1,-0.00958302953922281,0,0
723,EX_pac(e),0,0,0,0
724,EX_pb(e),0,0,0,0
725,EX_phe_L(e),1,0.00125410179692997,-1.06268767971235e-05,0
726,EX_pi(e),1,-0.0046008226806932,0,0
727,EX_pnto_R(e),1,-9.38008217676139e-05,-9.19246030787044e-07,0
728,EX_ppa(e),0,0.00520813533111262,0,0
729,EX_ppi(e),0,0.00471323299293104,0,0
730,EX_pppn(e),0,0,0,0
731,EX_pro_L(e),1,-0.00129367006774973,-1.26791541227532e-05,0
732,EX_ptrc(e),1,0.00959804698408651,0,0
733,EX_pydam(e),1,0,0,0
734,EX_pydx(e),1,-4.69004108838125e-05,-4.59623015393531e-07,0
735,EX_pydxn(e),1,0,0,0
736,EX_rib_D(e),1,-0.00210437113621778,0,0
737,EX_rmn(e),1,-0.00242193843631731,0,0
738,EX_salcn(e),0,0,0,0
739,EX_sbt-d(e),0,0,0,0
740,EX_sel(e),1,-0.00999932558113701,-6.88978509862978e-05,-1
741,EX_selni(e),0,0.00999932558113701,6.88978509862978e-05,0
742,EX_ser_D(e),0,0,0,0
743,EX_ser_L(e),1,-0.00241922902172174,-7.82407126287531e-06,-1
744,EX_so4(e),1,-4.69004108838125e-05,-4.59623015393531e-07,0
745,EX_spmd(e),1,0,0,0
746,EX_succ(e),1,-0.0161569582906566,1.51421425731024e-05,0
747,EX_sucr(e),1,0,0,0
748,EX_sulfac(e),0,0,0,0
749,EX_taur(e),0,0,0,0
750,EX_thm(e),1,-1.98764475770958e-36,0,0
751,EX_thr_L(e),1,-0.00227227082780881,-4.95824787202961e-05,0
752,EX_thymd(e),1,-3.32543626007705e-06,-6.91370855869569e-07,0
753,EX_tma(e),0,0,0,0
754,EX_tmao(e),0,0,0,0
755,EX_tre(e),1,-0.00171133277181197,0,0
756,EX_trp_L(e),1,-0.0016153637489469,-3.24627073271455e-06,0
757,EX_tsul(e),0,0,0,0
758,EX_ttdca(e),1,0.000136901807315182,0,0
759,EX_tym(e),0,0,0,0
760,EX_tyr_L(e),1,-0.00285248325305795,-5.37043373670259e-07,0
761,EX_ura(e),1,0,0,0
762,EX_urea(e),0,0.000145524446769192,0,0
763,EX_uri(e),1,-3.4559368211055e-05,0,0
764,EX_val_L(e),1,-0.00215584567314764,-2.42247590257866e-05,0
765,EX_xan(e),1,0,0,0
766,EX_xtsn(e),0,0.00684547934768838,2.55615156246684e-34,0
767,EX_xyl_D(e),1,-0.00244898556350652,0,0
768,EX_zn2(e),1,-4.69004108838125e-05,-4.59623015393531e-07,0
